"X","Y"
533704.6,6522173.5
533898.5,6522126.3
529371.7,6520931
528334.1,6520297.6
534748.2,6520123.5
532976,6515762
536599.9,6519033
535047,6520715.9
533915.9,6518350.8
534443.2,6514167.5
519764.8,6520325.3
522167.9,6520344
528190.6,6538231.5
527216.6,6538319.9
525720.3,6530903.1
518398.9,6522936.4
521120.3,6523885.1
530232.3,6528987.1
523500.1,6528290.8
519466.4,6525873.5
529389.2,6516385
530441.6,6526110.3
532771.6,6528110.3
534335.1,6514986.5
516971.4,6530335.5
516948.8,6530284.5
517442.5,6530311.8
525238.66,6531049.93
525570.5,6531155
525633.8,6531142.3
525965.3,6531281.5
486151.37,6531572.22
487743.98,6536047.54
485578.31,6531174.46
487138.87,6537091.91
494039.15,6536572.39
492703.73,6536985.16
492700.08,6535693.61
489995.69,6533335.68
483904.46,6535065.12
494075.4,6536428
488348.75,6534474.08
495135.41,6536652.33
495512.65,6536820.72
487228.98,6536487.73
484414.59,6534373.17
487555.8,6535139.5
483746.64,6535443.08
488115.99,6538274.46
490572.81,6537381.29
494037.02,6535740.41
485438.15,6536996.44
487432.12,6536088.29
484273.81,6535009.28
491186.14,6536356.15
492157.74,6538193.64
485960.88,6534767.46
493586.64,6537284.23
492016.71,6536469.14
493935.46,6537493.86
485201.37,6531176.11
487713.12,6536615
482263.33,6534846.56
484757.11,6537370.21
484558.33,6532127.78
487819.63,6536411.52
486622.05,6530792.25
490689.52,6540350.47
485941.57,6534306.17
492101.75,6538566.95
492570.04,6537872.78
490195.65,6533446.53
488660.43,6537101.04
493483.17,6536464.95
490096.94,6540074.42
486192.83,6532662.74
487679.13,6538066.48
488232.88,6538586.19
489194.1,6535355.5
483934.64,6534446.03
484423.53,6533322.04
490755.99,6539850.72
493018.4,6537933.52
663117.76,6430444.49
662694.3,6430444.76
663417.9,6430619.34
662316.59,6430726.26
663094.99,6430338.47
663320.61,6431091.27
663057.05,6430970.89
662947.28,6430942.47
662846.87,6430807.6
662656.72,6431666.84
662903.52,6430491.38
663012.12,6430231.32
663377.75,6430158.65
663347.93,6430213.29
663355.75,6430087.04
663097.39,6430707.9
663046.84,6430463.69
658995.6,6470923.82
658312.45,6470999.74
658305.27,6470911.33
657570.1,6474718
657649.08,6474977.86
657622.45,6471518.77
658307.26,6474413.43
658919.49,6474684.81
658925.63,6474754.3
659847.72,6476032.99
659191.27,6474404.92
659157.67,6474497.93
659036.77,6474572.32
657749.17,6474636.29
659371.37,6474135.55
659266.19,6474450.27
659085.93,6474504.08
659352.15,6474419.44
658872.6,6474506.44
581127.55,6519104.46
581491.29,6520956.45
581218.12,6518990.63
582262.82,6518515.44
582046.1,6518078
579967.03,6518981.65
582323.21,6518454.38
582039.07,6519039.16
581320.01,6519147.23
581964.8,6520279.7
582598.66,6520294.18
583138,6519249.49
583180.57,6519438.31
582360.04,6520349.07
581496.24,6519520.51
582335.63,6519017.98
582470.95,6520047.63
582325.21,6518588.01
582555.89,6520468.83
583458.8,6519210.04
582313.44,6519154.85
581979.03,6520029.42
582141.36,6520114.31
582722.02,6520015.2
583548.53,6519273.89
582434.06,6519030.73
582938.37,6519386.68
581901.83,6519048.77
582203.79,6518736.25
582192.28,6518871.97
582803.64,6520396.3
